OBJECTID,CSA2010,libcard11,libcard12,libcard13,libcard14,libcard15,libcard16,libcard17,libcard18,libcard19,CSA2020,libcard20,libcard21,libcard22,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,194.672257507554,206.32669420978,185.546031941789,318.616266880434,328.975766171301,276.006659678115,229.882222359252,233.397052475797,214.5279645,Allendale/Irvington/S. Hilton,203.736174804424,172.2417049,172.2417049,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,153.212654924984,153.131115459883,140.41095890411,249.510763209393,261.986301369863,225.78277886497,178.082191780821,175.391389432485,167.4820613,Beechfield/Ten Hills/West Hills,148.224778614582,128.6932053,128.6932053,47882527.7110596,37524.9505334171
3,Belair-Edison,319.418925126321,310.289389067524,261.311437758383,443.959577400092,463.711529627928,401.067983463481,337.79283417547,343.706936150666,333.4864492,Belair-Edison,326.085515412662,276.7649983,276.7649983,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,229.72688338131,195.464438671628,187.109457277259,307.589693182616,352.383627044864,296.14547497016,272.344309485361,269.255072667275,254.370568,Brooklyn/Curtis Bay/Hawkins Point,230.803472067661,196.8246903,196.8246903,176077742.748718,150987.703638771
5,Canton,267.777777777778,235.308641975309,169.382716049383,284.320987654321,299.753086419753,284.938271604938,269.259259259259,288.518518518519,309.2592593,Canton,310.838694016264,336.0844763,336.0844763,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,216.283907118903,213.39729167551,186.229146325933,305.471834274313,324.659336927452,282.718512544042,233.094197053954,236.660016131086,226.6842128,Cedonia/Frankford,202.939211756847,177.5105767,177.5105767,71541340.3063965,39962.5498347166
7,Cherry Hill,323.579614728115,309.436722750549,279.687881004633,508.046817849305,578.151670324311,484.39405023165,411.119239209948,419.897585954645,390.2706657,Cherry Hill,349.519743863394,284.284952,284.284952,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,236.719958741619,247.937080969572,218.282619907169,333.419288292934,354.048478597215,295.64208354822,248.710675605982,257.607013924703,245.2294997,Chinquapin Park/Belvedere,227.870896246017,213.8800388,213.8800388,21022590.1307373,21705.411630344
9,Claremont/Armistead,182.723848864051,166.200947636982,145.304337261572,277.366055157332,299.963552423763,267.282225731988,234.479407119426,234.843882881788,227.6758596,Orchard Ridge/Armistead,172.771403353928,153.3539276,153.3539276,61243774.4211426,40104.415980189
10,Clifton-Berea,279.521976909054,264.431841199109,220.781851326717,401.66092768888,424.448045371683,341.199108770508,299.068260076969,307.372898521369,293.2955236,Clifton-Berea,322.291144252343,265.5404514,265.5404514,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,78.256866656437,104.342488875249,105.186435476446,130.428111094062,142.55025318398,124.060150375939,116.081018873714,113.472456651834,117.2318551,Cross-Country/Cheswolde,100.128661167032,113.221827,113.221827,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,114.362350646184,124.116069251402,119.726895879054,190.441355766886,215.069495245062,201.414289197756,152.645696171665,155.571811753231,152.1580102,Dickeyville/Franklintown,142.156862745098,120.9150327,120.9150327,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,206.261666383845,211.182759205837,190.140845070423,292.974715764466,313.931783471915,261.751230273205,227.30358051926,230.527744781945,222.1279484,Dorchester/Ashburton,214.826166076046,187.6257063,187.6257063,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,381.011479987589,328.110456096804,262.798634812287,446.943841141793,468.507601613403,412.348743406763,345.485572448029,384.114179336022,457.6481539,Downtown/Seton Hill,309.271803556308,343.8823031,343.8823031,20736554.4064941,21565.859394559
15,Edmondson Village,293.037974683544,342.278481012658,283.164556962025,453.037974683544,457.59493670886,386.708860759493,321.645569620253,323.037974683544,302.1518987,Edmondson Village,291.837022416467,245.0303116,245.0303116,23563061.0443115,21504.551357829
16,Fells Point,249.253235977431,218.276358004204,180.993472729284,291.957074897666,298.263082199358,288.748755393295,237.747538444518,248.036287199911,275.0304237,Fells Point,240.082722316225,276.9317541,276.9317541,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,279.114630926998,262.666260534064,242.258097268758,411.513859275053,440.653873489694,367.550005076657,319.727891156462,316.377297187532,309.6761092,Forest Park/Walbrook,279.22766815192,246.9764481,246.9764481,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,125.0502883197,175.271556926378,190.894461579724,272.629743864825,300.321845246077,243.127262974386,215.502212686066,222.00616870055,215.9715703,Glen-Fallstaff,185.762571566531,169.6902807,169.6902807,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,244.402415959978,222.439143432371,183.45433469587,297.480324568361,315.844060765053,291.074370081142,246.964797754865,265.572570312977,287.5358428,Greater Charles Village/Barclay,264.990557129367,276.1449481,276.1449481,27051213.4559937,26454.2692113332
